GENE_SYMBOLS,refseq_ids
TDRD3,NM_001146070
ZBTB22,NM_001145338
POU2F1,NM_001198783
TPT1,NM_001286272
GABARAPL2,NM_007285
GAS2,NM_001143830
RABAC1,NM_006423
MAST4,NM_001164664
GNPDA1,NM_005471
RPS28,NM_001031
MRPS12,NM_021107
CNRIP1,NM_001111101
AGO3,NM_024852
BSG,NM_001322243
CDC37,NM_007065
SPRED3,NM_001039616
CCDC7,NM_001026383
RHBDD2,NM_001040456
POLR3K,NM_016310
TRAPPC12,NM_001321102
RAD21,NM_006265
KLF9,NM_001206
HCFC1,NM_001410705
GRK4,NM_001004056
EIF4G3,NM_001198801
KCNQ3,NM_001204824
LARP6,NM_001286679
ZNF487,NM_001355444
TVP23C,NM_001135036
ATXN7L1,NM_001318229
DYNLT3,NM_006520
SLC41A3,NM_001008485
DYNLL1,NM_001037494
CNNM2,NM_017649
PRDX3,NM_001302272
ARPC4,NM_001024959
CLU,NM_001831
GNG3,NM_012202
BBS9,NM_001033604
USP22,NM_015276
SLC38A9,NM_001258286
PDHB,NM_000925
AKAP11,NM_016248
RPRML,NM_203400
SV2A,NM_001278719
SPRY4,NM_001127496
ME3,NM_001014811
SOS1,NM_001382394
EFNB3,NM_001406
RITA1,NM_001286215
MTHFD1L,NM_001242767
SCMH1,NM_001031694
SHANK2,NM_001379226
B3GAT3,NM_001288721
RPL29,NM_000992
DHRSX,NM_145177
KSR2,NM_173598
UBQLN4,NM_001304342
CETN2,NM_004344
CCDC88A,NM_001135597
RTL10,NM_024627
DNAJB6,NM_001363676
SLC9A6,NM_001042537
GPRASP2,NM_001004051
POP7,NM_005837
MANEAL,NM_001031740
ASNSD1,NM_001353497
HYOU1,NM_001130991
FOCAD,NM_001375567
PLEKHJ1,NM_001300836
EML4,NM_001145076
NICN1,NM_032316
SNAPC5,NM_001329613
LSM14B,NM_014054
MPP1,NM_001166460
TTC17,NM_001307943
SLC8A3,NM_001130417
ACTB,NM_001101
HEATR5A,NM_015473
PHACTR4,NM_001048183
SMIM13,NM_001135575
TRIR,NM_001329738
RTL8C,NM_001078171
ATP1B1,NM_001001787
SNX29,NM_001009607
HDGF,NM_001126050
C12orf76,NM_001389625
RPL13,NM_000977
INPP5B,NM_001297434
EPM2AIP1,NM_014805
PYURF,NM_032906
EXOSC6,NM_058219
EIF1B,NM_005875
MEPCE,NM_001194990
NALCN,NM_001350748
SEPTIN8,NM_001098811
ATCAY,NM_033064
TNKS,NM_003747
TCAIM,NM_001029839
FN3KRP,NM_024619
DYNC1I1,NM_001135556
TRAF3,NM_001199427
MAPK1,NM_002745
SPCS1,NM_014041
LSM4,NM_001252129
USP46,NM_001134223
ZFYVE28,NM_001172656
AUXG01000058.1,NA
ZNF532,NM_001318726
NDN,NM_002487
DLC1,NM_001164271
