GENE_SYMBOLS,refseq_ids
ZDHHC22,NM_001364172
UBE2L6,NM_004223
ARHGAP22,NM_001256024
PHB,NA
ARMCX6,NM_001009584
RCN1,NM_002901
RPSA,NM_001304288
UQCC3,NM_001085372
TMEM72-AS1,NR_033842
ZNF69,NM_001321163
FKBP8,NM_001308373
AHCY,NM_000687
TAF9,NM_001015892
TSR3,NM_001001410
TEC,NM_003215
DUSP6,NM_001946
PDHB,NM_000925
ST6GALNAC3,NM_001160011
INAFM1,NM_178511
SPRY4-AS1,NR_120664
LRRC73,NM_001012974
TTC9B,NM_152479
H1FX,NA
HSP90B1,NM_003299
GRIP1,NM_001178074
TBCE,NM_001079515
GNAS,NM_000516
ZNF747,NM_001305018
CCNQ,NM_001130997
LAMA4,NM_001105206
GAS1RR,NR_049794
BORCS8,NM_001145783
TUBB4B,NM_006088
USP1,NM_001017415
FSIP2-AS1,NR_144453
RIT2,NM_001272077
PYURF,NM_032906
KCNV1,NM_014379
CCNG2,NM_004354
NLRP1,NM_001033053
SYT5,NM_001297774
SSTR1,NM_001049
ARSG,NM_001267727
PEX12,NM_000286
UBXN1,NM_001286077
EXOC8,NM_175876
STK16,NM_001008910
ACP2,NM_001131064
HIGD2A,NM_138820
MFSD3,NM_138431
SLC35F3,NM_001300845
CDIP1,NM_001199054
CPTP,NM_001029885
TCEAL2,NM_080390
SALL2,NM_001291446
EZH2,NM_001203247
GADD45GIP1,NM_052850
ZNF436,NM_001077195
TUBA1A,NM_001270399
SMKR1,NM_001195243
PUF60,NM_001136033
PTPRM,NM_001105244
EPOP,NM_001130677
SLC9A3R2,NA
RTL5,NM_001024455
MOCS3,NM_014484
CHPF,NM_001195731
EEF1AKNMT,NA
HCG11,NR_026790
DNAL4,NM_005740
SLC25A5,NM_001152
KCNQ3,NM_001204824
PPCDC,NM_001301101
ZNF428,NM_182498
TCEAL6,NM_001006938
IMPDH2,NM_000884
NEFM,NM_001105541
CCDC39,NM_181426
DCK,NM_000788
CDH26,NM_001348204
PLXNA4,NM_001105543
NEUROD1,NM_002500
ZNF488,NM_001346932
AVPI1,NM_021732
OTUD1,NM_001145373
SLC7A5,NM_003486
THEM6,NM_001363000
STIP1,NM_001282652
RPL36,NM_015414
TAF9B,NM_015975
KLHL29,NM_025067
UCK1,NM_001135954
FAM135B,NM_001362965
ZNF440,NM_152357
SHROOM3,NM_020859
CXXC4-AS1,NR_125926
PCBD1,NM_000281
PSPN,NM_004158
ASPHD2,NM_020437
APEH,NM_001640
RTL8A,NM_001078172
RPS11,NM_001015
HPCAL1,NM_001258357
NRGN,NM_001126181
YRDC,NM_024640
METTL26,NM_001040160
TMEM147,NM_001242597
PAK6,NM_001276717
C20orf27,NA
PPP1R9B,NM_032595
POLR3K,NM_016310
MYL12B,NM_001144944
SNX8,NM_013321
SDCBP,NM_001007067
CDK2AP1,NM_001270433
ANKRD7,NM_001077708
BAG6,NM_001098534
NPTXR,NM_014293
SOCS5,NM_014011
SOD1,NM_000454
TKT,NM_001064
SUN2,NM_001199579
FOXO4,NM_001170931
RPL3,NM_000967
MCAT,NM_014507
C1QBP,NM_001212
RBP4,NM_001323517
SNAPC2,NM_003083
C6orf120,NM_001029863
RAB37,NM_001006637
NAPA,NM_003827
MICOS10,NM_001032363
CXXC5,NM_001317199
PTPMT1,NM_001143984
POLR2I,NM_006233
TMEM208,NM_001318217
BAIAP3,NM_001199096
RPS16,NM_001020
CACNB1,NM_000723
NAP1L3,NM_004538
COX4I1,NM_001318786
