"Symbol","Uniprot","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"WDR7","Q9Y4E6","3.72486265752685","520.944097123321","0.20720510759304","0.00893810230736857","-286.913211186138","-434.814398996274",0.528874006561626,1
"ALDOC","P09972","5.56390283042959","847.321959113229","0.866325333056529","0.00449978347880819","-558.253890540658","637.422227484812",0.940275733764234,1
"TRIO","O75962","4.01759110221025","412.153670407853","0.185440946412954","0.0087921736222576","-316.609493267997","-263.873221080213",0.504442851710754,1
"NEFH","P12036","1.97804338777203","9129.35351812069","0.0461162714608125","0.079568901816774","8382.70654091574","-3615.98212215036",0.265514871337947,1
"DNM1L","O00429","3.85907086144978","1891.18922867318","0.187075621907874","0.0127206044369821","-1243.43172635408","-1424.94710096396",0.50651729368958,1
"ANXA6","P08133","2.39126062101102","2696.02589900463","0.489378329255342","0.0126646335746146","1838.37063425345","-1972.04185027051",0.748550479940075,1
"KTN1","Q86UP2","1.71266221973372","143.839792775751","0.964955803609834","0.00192668147679293","142.394763848721","-20.3375813271387",0.983737740585823,1
"ATP6V1A","P38606","5.01384332826323","1787.27512364937","0.523870202522796","0.0084766191867638","-1706.67918474341","530.658579483466",0.771124507706838,1
"ENO2","P09104","4.70586806860698","3782.30693889594","0.414797934865438","0.0235691819985973","-3782.22652300386","-24.6639150695145",0.699900921935312,1
"AGL","P35573","3.77653673660463","586.577985280468","0.776471562692437","0.00851028286006821","-347.918464652577","-472.256789013653",0.895521227836422,1
"UTRN","P46939","0.678248730096378","326.621780543694","0.368052948918805","0.0127854408605689","204.932408539396","254.331467686905",0.669674494037845,1
"ALDH1L1","O75891","0.798667137729139","4350.48118434833","0.021824334844088","0.0419930744492306","3116.80148689681","3035.16639192099",0.185163249154944,1
"SACS","Q9NZJ4","4.36968242911948","362.452440167993","0.335908887727192","0.0129187252608928","-341.375328298771","-121.79760511865",0.643489102402618,1
"DNM3","Q9UQ16","3.93164775312737","471.682273761109","0.617051962326581","0.00586397988143579","-335.079338769308","-331.972896650273",0.820431457553476,1
"MADD","Q8WXG6","4.149631912102","775.612809821879","0.187617198842456","0.0148200482008406","-656.003523272551","-413.80503647707",0.506929734355101,1
"ATP5F1A","P25705","3.11488708853948","4293.43778253426","0.469269708688973","0.00975505209131926","114.645053626095","-4291.9068610784",0.73366816800633,1
"HSPA4L","O95757","1.71913539104758","1274.32125039583","0.241074823547512","0.0112691507659383","1260.32655387156","-188.339127152662",0.561980510501271,1
"CAND1","Q86VP6","1.49594020424315","2141.46033886575","0.101959142911459","0.0167632121225167","2135.46336867599","160.151752965761",0.388259621203772,1
"SHANK3","Q9BYB0","2.32943475571216","358.234991982368","0.764633773447016","0.00649754756074972","259.99741168386","-246.441991954093",0.891635323938962,1
"PTPRD","P23468","1.35058636698276","278.681095193497","0.225898194037278","0.00790896178211692","271.951394966881","60.8735705689661",0.548799382489966,1
"ACTB","P60709","4.88077849992764","6719.26350584523","0.628194065460655","0.00971121532787038","-6624.22593056949","1126.11406249739",0.826919988767128,1
"MYCBP2","O75592","4.17059242405294","296.314546886654","0.0476353436059255","0.0111515962235556","-253.877451151629","-152.802324895256",0.269931631144865,1
"GOLGB1","Q14789","3.99509816008671","355.544518595341","0.360181412317519","0.0197484165267911","-267.934566052398","-233.715581460684",0.662693090616693,1
"AARS1","P49588","2.98152205043605","1384.09221160256","0.409914733313119","0.0106725095901498","220.607561500637","-1366.3980218178",0.696320375241024,1
"CNP","P09543","2.13323201435994","15610.4264626729","0.353693195493198","0.0555662642456316","13205.777567216","-8324.2328890855",0.657411662603199,1
"AGRN","O00468","0.911952610516737","596.792428523015","0.174568325617644","0.0169390956728664","471.884155340427","365.358107452196",0.492526605232729,1
"CTNND2","Q9UQB3","1.53533441800429","494.389911478634","0.468596980537442","0.00935959596913547","494.079084785103","17.5283356245429",0.733437294538902,1
"TKT","P29401","2.41842143536454","985.57176239898","0.698117437175699","0.00789516100097395","652.217382655355","-738.893892653356",0.863451599337448,1
"VPS13D","Q5THJ4","5.30410776373701","407.209051012191","0.106909541136053","0.0167887833473155","-337.976666389615","227.136488047193",0.395727825660983,1
"MAPT","P10636","0.0728641154920503","2300.41368127821","0.691001547440076","0.0101786444567419","167.46932886303","2294.30972819759",0.860883872689361,1
"TPR","P12270","0.989386726535041","866.709419642052","0.000365098318478303","0.0205295951161018","724.299809415166","475.998953966726",0.0212459037614823,1
"DLG4","P78352","3.33666526956154","413.49166535348","0.801398469103091","0.00495304138649019","-80.1503040546549","-405.649215550506",0.909003866681892,1
"PGK1","P00558","0.947561165421658","6293.18892041355","0.125631939364949","0.0200963145215377","5110.03452842265","3673.11501403701",0.425157199739156,1
"RANBP2","P49792","1.37714130967824","762.406236541832","0.000328063884754938","0.0196559974343869","748.154877757647","146.722692196268",0.0205079295638007,1
"PLXNA1","Q9UIW2","4.89478052158099","768.42226985442","0.371478793642022","0.0112273115840362","-755.676236861709","139.377938895459",0.670997525085243,1
"SYNGAP1","Q96PV0","4.11852920738925","1230.52371956991","0.189382612873542","0.014420530291722","-1019.84214512272","-688.556913737453",0.508359923391912,1
"SGIP1","Q9BQI5","4.91124380478056","941.067921468384","0.0782842683588569","0.0154154531597741","-922.522716051109","185.90500581348",0.33984270506196,1
"HSPA1B","P0DMV9","1.43724529712139","8189.22394347967","0.000287962771142275","0.0587768137330095","8116.30142897833","1090.43106633342",0.0190689923195401,1
"CLASP1","Q7Z460","1.93903929615949","635.67473992239","0.0462568840899303","0.0117455911888852","593.059916193801","-228.828124975059",0.265577731284875,1
"AP2A2","O94973","3.93192553945276","381.761666151357","0.88711122663679","0.00448200815863076","-271.275080624781","-268.610871661366",0.948778020857252,1
"PLXNA4","Q9HCM2","4.74153299355647","312.487315724408","0.756953588896584","0.00547336706942382","-312.354615894332","9.1058452737892",0.887580333679158,1
"AP1B1","Q10567","2.99106650255763","62.0167180645589","0.976620300839701","0.00156996350087258","9.29992500410951","-61.315452492964",0.989152434317748,1
"MAP4","P27816","0.945122739956911","2574.17495163458","0.236143619959511","0.022810430077774","2086.54595749457","1507.54855606245",0.558428130282883,1
"COL6A3","P12111","1.54926095509062","6829.33636857534","0.35729751599242","0.163500103260264","6827.75280148426","147.060929446449",0.660341246443891,1
"CRMP1","Q14194","4.70255916485117","2177.46571962834","0.19888375608708","0.0162792940656561","-2177.36052136515","-21.4037416602244",0.519659963131569,1
"NNT","Q13423","4.27432755171587","2589.46175614827","0.404586551546849","0.0107182538604323","-2344.95358207166","-1098.41016222712",0.695687581490447,1
"INA","Q16352","1.87831033686744","6258.30882749313","0.107150390741697","0.0393528978507574","5964.72529597446","-1894.32877923576",0.395727825660983,1
"PYGM","P11217","1.89324980147084","1845.32927666586","0.23371877823593","0.0295926848945449","1750.22244655832","-584.774765942876",0.556908254987879,1
"IPO5","O00410","1.36074333747308","354.068328160044","0.737282772654503","0.00656359933421756","346.285859287641","73.8273977833988",0.880637050675984,1
"TUBA8","Q9NY65","4.11637213846019","452.279887571446","0.638118429587743","0.0125866153538944","-374.296939973801","-253.887568478429",0.833404213404417,1
"RTN1","Q16799","0.791443669440297","559.463236411748","0.795780762965137","0.00553470509414046","397.984608209564","393.201429962541",0.905674639472832,1
"GRIPAP1","Q4V328","4.49808379928213","383.802294938997","0.443611916569484","0.00723490901557373","-375.022585698907","-81.6226795452529",0.718869011333628,1
"NCKAP1","Q9Y2A7","3.32807373373772","628.514322315686","0.705364236115792","0.00586340328306977","-116.527899504915","-617.617601751212",0.866894643128153,1
"MTOR","P42345","4.21508988057283","132.344075475717","0.579889849027993","0.00370139519243381","-116.313798742118","-63.1352083682345",0.799586956115182,1
