"Gene_Symbols","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"ELAVL3","0.540161152534301","200.858645136246","206.033548413374",0.657809799564785,1
"ZNF653","0.621253139615866","7.29357142392831","7.24354534068872",0.726591557700858,1
"ECSIT","0.0424141311909668","29.011478389344","27.9004329049076",0.0879321942180555,1
"ELOF1","4.6927752217382e-06","17.7698253099453","16.1570499115134",4.19418654776512e-05,0.0658067869344348
"ZNF627","0.539934388548351","7.46974161044227","7.30557120835605",0.657647870286939,1
"ZNF823","0.0895184558261153","5.46853303852558","5.68264286314707",0.161517924092848,1
"ZNF441","0.00567080807149272","12.8887051691458","12.0870653486882",0.0161007778065484,1
"ZNF491","0.00893899767500316","4.83976023050261","5.3160068765867",0.0237618998075835,1
"ZNF440","0.000116508850521086","13.0863239438123","14.4095876086606",0.000607136235918688,1
"ZNF439","0.000399721798352756","28.2071690165477","29.9651206691756",0.00171363460051993,1
"ZNF69","3.08069732448723e-06","13.5673197390035","15.8956585166245",2.96707545201129e-05,0.0432006185812844
"ZNF700","0.000906821634189535","15.0425664466619","16.0324923784791",0.00341653943477696,1
"ZNF763","0.0335281211044116","5.43949183677191","5.80054951254475",0.0724556699410023,1
"ZNF433-AS1","0.042182917861099","14.7322379563187","15.6696795221517",0.0875709075541657,1
"ZNF433","0.210585379404594","6.25391894944274","6.40604266348864",0.321892170851387,1
"ZNF844","0.625621811433598","5.44779296818999","5.27837905988205",0.729814047228462,1
"ZNF20","0.0339973913764608","2.59884153932701","2.85506031869441",0.0732890729088562,1
"ZNF625","0.0807910265339092","9.16155820122775","9.52007590932757",0.14855800303515,1
"ZNF136","0.922511334186501","9.20007641374893","9.18790022650509",0.951344053485608,1
"ZNF44","0.0553904457418243","33.6236243877287","34.7422516441913",0.109430856669147,1
"ZNF563","0.853009104001383","4.76815663207497","4.75180417091739",0.903318733228469,1
"ZNF799","0.0452595918606064","3.24709061498504","3.46807744606231",0.0927313714276093,1
"ZNF443","0.216935634045846","3.74691076047995","3.92199268164254",0.32930162331943,1
"ZNF709","0.183106927554048","23.4846092500723","22.8048822160303",0.288170827586847,1
"ZNF564","0.359845683442467","9.20969906629022","8.9975436781712",0.486278887820537,1
